"";"anime_id";"name";"genre";"type";"episodes";"rating";"members"
"1";32281;"Kimi no Na wa.";"Drama, Romance, School, Supernatural";"Movie";"1";9,37;200630
"2";5114;"Fullmetal Alchemist: Brotherhood";"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen";"TV";"64";9,26;793665
"3";28977;"Gintama°";"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen";"TV";"51";9,25;114262
"4";9253;"Steins;Gate";"Sci-Fi, Thriller";"TV";"24";9,17;673572
"5";9969;"Gintama&#039;";"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen";"TV";"51";9,16;151266
"6";32935;"Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou";"Comedy, Drama, School, Shounen, Sports";"TV";"10";9,15;93351
"7";11061;"Hunter x Hunter (2011)";"Action, Adventure, Shounen, Super Power";"TV";"148";9,13;425855
"8";820;"Ginga Eiyuu Densetsu";"Drama, Military, Sci-Fi, Space";"OVA";"110";9,11;80679
"9";15335;"Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare";"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen";"Movie";"1";9,1;72534
"10";15417;"Gintama&#039;: Enchousen";"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen";"TV";"13";9,11;81109
"11";4181;"Clannad: After Story";"Drama, Fantasy, Romance, Slice of Life, Supernatural";"TV";"24";9,06;456749
"12";28851;"Koe no Katachi";"Drama, School, Shounen";"Movie";"1";9,05;102733
"13";918;"Gintama";"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen";"TV";"201";9,04;336376
"14";2904;"Code Geass: Hangyaku no Lelouch R2";"Action, Drama, Mecha, Military, Sci-Fi, Super Power";"TV";"25";8,98;572888
"15";28891;"Haikyuu!! Second Season";"Comedy, Drama, School, Shounen, Sports";"TV";"25";8,93;179342
"16";199;"Sen to Chihiro no Kamikakushi";"Adventure, Drama, Supernatural";"Movie";"1";8,93;466254
"17";23273;"Shigatsu wa Kimi no Uso";"Drama, Music, Romance, School, Shounen";"TV";"22";8,92;416397
"18";24701;"Mushishi Zoku Shou 2nd Season";"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural";"TV";"10";8,88;75894
"19";12355;"Ookami Kodomo no Ame to Yuki";"Fantasy, Slice of Life";"Movie";"1";8,84;226193
"20";1575;"Code Geass: Hangyaku no Lelouch";"Action, Mecha, Military, School, Sci-Fi, Super Power";"TV";"25";8,83;715151
"21";263;"Hajime no Ippo";"Comedy, Drama, Shounen, Sports";"TV";"75";8,83;157670
"22";44;"Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen";"Action, Drama, Historical, Martial Arts, Romance, Samurai";"OVA";"4";8,83;129307
"23";1;"Cowboy Bebop";"Action, Adventure, Comedy, Drama, Sci-Fi, Space";"TV";"26";8,82;486824
"24";30276;"One Punch Man";"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural";"TV";"12";8,82;552458
